Station,api,Url,latitude,longitude,PRECIP_RATE,PRECIP_ACCUM,static_px,top_bottom,left_right,first_div_height,line_rotate,line_left_right,line_top_bottom,id,status
Bazaleti - IUNDILAA2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IUNDILAA2&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IUNDILAA2,42.06,44.67,--.--,--.--,-46.0,-46.0,-66,0.0,30,-43,-10,IUNDILAA2,0
BITSMENDI (GEO) - IBITSMEN3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IBITSMEN3&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IBITSMEN3,41.94,44.8,--.--,--.--,-45.0,-45.0,45,0.0,-35,0,-12,IBITSMEN3,0
FT0300 - IABKHA1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IABKHA1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IABKHA1,42.74,41.43,--.--,--.--,-45.0,-45.0,5,0.0,-35,2,-14,IABKHA1,0
laxmi - ISAMEG2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG2&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ISAMEG2,42.58,41.86,--.--,--.--,-45.0,-45.0,7,0.0,-38,0,-13,ISAMEG2,0
Kolhuri Nuts - ISAMEG1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ISAMEG1,42.15,42.26,--.--,--.--,-45.0,-45.0,2,0.0,-38,0,-13,ISAMEG1,0
2902 Rioni - IGUMAT4,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IGUMAT4&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IGUMAT4,42.33,42.69,--.--,--.--,-45.0,-45.0,-5,0.0,-45,-6,-13,IGUMAT4,0
Kvenatkotsa - IKVENATK2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IKVENATK2,42.05,43.82,--.--,--.--,-38.0,-38.0,-55,0.0,25,-47,-9,IKVENATK2,0
"Doesi, Georgia - ISHIDA1",https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISHIDA1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ISHIDA1,41.94,44.21,--.--,--.--,-45.0,-45.0,-58,0.0,30,-44,-10,ISHIDA1,0
Sakramulo - ISAKRA1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAKRA1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ISAKRA1,42.01,44.72,--.--,--.--,-45.0,-45.0,-4,0.0,-46,-5,-14,ISAKRA1,0
Patara Gora PWS - IPATAR1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IPATAR1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IPATAR1,41.82,46.14,--.--,--.--,-45.0,-45.0,-54,0.0,35,-43,-12,IPATAR1,0
Nexara - IKAKHE1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IKAKHE1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IKAKHE1,41.61,45.45,--.--,--.--,-45.0,-45.0,5,0.0,-35,0,-13,IKAKHE1,0
Gulgula Holfuy - I90581222,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=I90581222&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/I90581222,41.98,45.51,--.--,--.--,-45.0,-45.0,-50,0.0,35,-45,-13,I90581222,0
Oleg_Station - IBAKUR1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IBAKUR1&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IBAKUR1,41.76,43.53,--.--,--.--,-45.0,-45.0,-66,0.0,25,-45,-9,IBAKUR1,0
Pademi Weather Station - IMTSKH3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH3&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IMTSKH3,41.95,44.62,--.--,--.--,5.0,5.0,-92,0.0,-25,-45,13,IMTSKH3,0
Natakhtari - IMTSKHET3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKHET3&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IMTSKHET3,41.92,44.71,--.--,--.--,30.0,30.0,32,0.0,50,-3,24,IMTSKHET3,0
KIKETI - ITBILI32,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI32&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI32,41.66,44.65,--.--,--.--,-47.0,-47.0,5,0.0,-35,0,-13,ITBILI32,1
IraklidzeWS - ITBILI28,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ITBILI28&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/ITBILI28,41.68,44.82,--.--,--.--,-48.0,-48.0,10,0.0,-30,0,-10,ITBILI28,1
Mukhatskaro - IMTSKHET11,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKHET11&numericPrecision=decimal&format=json&units=m,https://www.wunderground.com/dashboard/pws/IMTSKHET11,41.74,44.67,--.--,--.--,-45.0,-45.0,-2,0.0,-35,0,-13,IMTSKHET11,1
