id,station_name,url,api,latitude,longitude
1,Bazaleti - IUNDILAA2,https://www.wunderground.com/dashboard/pws/IUNDILAA2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IUNDILAA2&numericPrecision=decimal&format=json&units=m,42.06,44.67
2,BITSMENDI (GEO) - IBITSMEN3,https://www.wunderground.com/dashboard/pws/IBITSMEN3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IBITSMEN3&numericPrecision=decimal&format=json&units=m,41.94,44.8
3,FT0300 - IABKHA1,https://www.wunderground.com/dashboard/pws/IABKHA1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IABKHA1&numericPrecision=decimal&format=json&units=m,42.74,41.43
4,laxmi - ISAMEG2,https://www.wunderground.com/dashboard/pws/ISAMEG2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG2&numericPrecision=decimal&format=json&units=m,42.58,41.86
5,Kolhuri Nuts - ISAMEG1,https://www.wunderground.com/dashboard/pws/ISAMEG1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG1&numericPrecision=decimal&format=json&units=m,42.15,42.26
6,2902 Rioni - IGUMAT4,https://www.wunderground.com/dashboard/pws/IGUMAT4,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IGUMAT4&numericPrecision=decimal&format=json&units=m,42.33,42.69
7,Kvenatkotsa - IKVENATK2,https://www.wunderground.com/dashboard/pws/IKVENATK2,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAMEG1&numericPrecision=decimal&format=json&units=m,42.05,43.82
8,"Doesi, Georgia - ISHIDA1",https://www.wunderground.com/dashboard/pws/ISHIDA1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISHIDA1&numericPrecision=decimal&format=json&units=m,41.94,44.21
9,Sakramulo - ISAKRA1,https://www.wunderground.com/dashboard/pws/ISAKRA1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=ISAKRA1&numericPrecision=decimal&format=json&units=m,42.01,44.72
10,Patara Gora PWS - IPATAR1,https://www.wunderground.com/dashboard/pws/IPATAR1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IPATAR1&numericPrecision=decimal&format=json&units=m,41.82,46.14
11,Nexara - IKAKHE1,https://www.wunderground.com/dashboard/pws/IKAKHE1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IKAKHE1&numericPrecision=decimal&format=json&units=m,41.61,45.45
12,Gulgula Holfuy - I90581222,https://www.wunderground.com/dashboard/pws/I90581222,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=I90581222&numericPrecision=decimal&format=json&units=m,41.98,45.51
13,Oleg_Station - IBAKUR1,https://www.wunderground.com/dashboard/pws/IBAKUR1,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IBAKUR1&numericPrecision=decimal&format=json&units=m,41.76,43.53
14,Pademi Weather Station - IMTSKH3,https://www.wunderground.com/dashboard/pws/IMTSKH3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKH3&numericPrecision=decimal&format=json&units=m,41.95,44.62
15,Natakhtari - IMTSKHET3,https://www.wunderground.com/dashboard/pws/IMTSKHET3,https://api.weather.com/v2/pws/observations/current?apiKey=e1f10a1e78da46f5b10a1e78da96f525&stationId=IMTSKHET3&numericPrecision=decimal&format=json&units=m,41.92,44.71
