id,station_id,precip_rate,precip_accum,precip_time
1,1,0.00,0.00,2024-06-26 00:00:16
2,2,0.00,0.00,2024-06-26 00:00:16
3,3,0.00,0.25,2024-06-26 00:00:16
4,4,0.00,0.61,2024-06-26 00:00:16
5,5,--:--,--:--,2024-06-26 00:00:16
6,6,0.00,0.00,2024-06-26 00:00:16
7,7,--:--,--:--,2024-06-26 00:00:16
8,8,--:--,--:--,2024-06-26 00:00:16
9,9,0.00,0.00,2024-06-26 00:00:16
10,10,0.00,0.00,2024-06-26 00:00:16
11,11,0.00,0.00,2024-06-26 00:00:16
12,12,0.00,0.00,2024-06-26 00:00:16
13,13,--:--,--:--,2024-06-26 00:00:16
14,14,0.00,0.00,2024-06-26 00:00:16
15,15,0.00,0.00,2024-06-26 00:00:16
16,16,0.00,0.00,2024-06-26 00:00:16
17,17,--:--,--:--,2024-06-26 00:00:16
18,18,0.00,0.00,2024-06-26 00:00:16
19,19,0.00,0.00,2024-06-26 00:00:16
20,20,0.00,0.00,2024-06-26 00:00:16
21,21,--:--,--:--,2024-06-26 00:00:16
22,22,--:--,--:--,2024-06-26 00:00:16
23,23,0.00,0.00,2024-06-26 00:00:16
24,24,--:--,--:--,2024-06-26 00:00:16
25,25,0.00,0.00,2024-06-26 00:00:16
26,26,0.00,0.00,2024-06-26 00:00:16
27,27,0.00,0.00,2024-06-26 00:00:16
28,28,0.00,0.00,2024-06-26 00:00:16
29,1,0.00,0.00,2024-06-26 00:05:13
30,2,0.00,0.00,2024-06-26 00:05:13
31,3,0.00,0.25,2024-06-26 00:05:13
32,4,0.00,0.00,2024-06-26 00:05:13
33,5,--:--,--:--,2024-06-26 00:05:13
34,6,0.00,0.00,2024-06-26 00:05:13
35,7,--:--,--:--,2024-06-26 00:05:13
36,8,--:--,--:--,2024-06-26 00:05:13
37,9,0.00,0.00,2024-06-26 00:05:13
38,10,0.00,0.00,2024-06-26 00:05:13
39,11,0.00,0.00,2024-06-26 00:05:13
40,12,0.00,0.00,2024-06-26 00:05:13
41,13,--:--,--:--,2024-06-26 00:05:13
42,14,0.00,0.00,2024-06-26 00:05:13
43,15,0.00,0.00,2024-06-26 00:05:13
44,16,0.00,0.00,2024-06-26 00:05:13
45,17,--:--,--:--,2024-06-26 00:05:13
46,18,0.00,0.00,2024-06-26 00:05:13
47,19,0.00,0.00,2024-06-26 00:05:13
48,20,0.00,0.00,2024-06-26 00:05:13
49,21,--:--,--:--,2024-06-26 00:05:13
50,22,--:--,--:--,2024-06-26 00:05:13
51,23,0.00,0.00,2024-06-26 00:05:13
52,24,--:--,--:--,2024-06-26 00:05:13
53,25,0.00,0.00,2024-06-26 00:05:13
54,26,0.00,0.00,2024-06-26 00:05:13
55,27,0.00,0.00,2024-06-26 00:05:13
56,28,0.00,0.00,2024-06-26 00:05:13
57,1,0.00,0.00,2024-06-26 00:10:13
58,2,0.00,0.00,2024-06-26 00:10:13
59,3,0.00,0.25,2024-06-26 00:10:13
60,4,0.00,0.00,2024-06-26 00:10:13
61,5,--:--,--:--,2024-06-26 00:10:13
62,6,0.00,0.00,2024-06-26 00:10:13
63,7,--:--,--:--,2024-06-26 00:10:13
64,8,--:--,--:--,2024-06-26 00:10:13
65,9,0.00,0.00,2024-06-26 00:10:13
66,10,0.00,0.00,2024-06-26 00:10:13
67,11,0.00,0.00,2024-06-26 00:10:13
68,12,0.00,0.00,2024-06-26 00:10:13
69,13,--:--,--:--,2024-06-26 00:10:13
70,14,0.00,0.00,2024-06-26 00:10:13
71,15,0.00,0.00,2024-06-26 00:10:13
72,16,0.00,0.00,2024-06-26 00:10:13
73,17,--:--,--:--,2024-06-26 00:10:13
74,18,0.00,0.00,2024-06-26 00:10:13
75,19,0.00,0.00,2024-06-26 00:10:13
76,20,0.00,0.00,2024-06-26 00:10:13
77,21,--:--,--:--,2024-06-26 00:10:13
78,22,--:--,--:--,2024-06-26 00:10:13
79,23,0.00,0.00,2024-06-26 00:10:13
80,24,--:--,--:--,2024-06-26 00:10:13
81,25,0.00,0.00,2024-06-26 00:10:13
82,26,0.00,0.00,2024-06-26 00:10:13
83,27,0.00,0.00,2024-06-26 00:10:13
84,28,0.00,0.00,2024-06-26 00:10:13
85,1,0.00,0.00,2024-06-26 00:15:13
86,2,0.00,0.00,2024-06-26 00:15:13
87,3,0.00,0.25,2024-06-26 00:15:13
88,4,0.00,0.00,2024-06-26 00:15:13
89,5,--:--,--:--,2024-06-26 00:15:13
90,6,0.00,0.00,2024-06-26 00:15:13
91,7,--:--,--:--,2024-06-26 00:15:13
92,8,--:--,--:--,2024-06-26 00:15:13
93,9,0.00,0.00,2024-06-26 00:15:13
94,10,0.00,0.00,2024-06-26 00:15:13
95,11,0.00,0.00,2024-06-26 00:15:13
96,12,0.00,0.00,2024-06-26 00:15:13
97,13,--:--,--:--,2024-06-26 00:15:13
98,14,0.00,0.00,2024-06-26 00:15:13
99,15,0.00,0.00,2024-06-26 00:15:13
100,16,0.00,0.00,2024-06-26 00:15:13
101,17,--:--,--:--,2024-06-26 00:15:13
102,18,0.00,0.00,2024-06-26 00:15:13
103,19,0.00,0.00,2024-06-26 00:15:13
104,20,0.00,0.00,2024-06-26 00:15:13
105,21,--:--,--:--,2024-06-26 00:15:13
106,22,--:--,--:--,2024-06-26 00:15:13
107,23,0.00,0.00,2024-06-26 00:15:13
108,24,--:--,--:--,2024-06-26 00:15:13
109,25,0.00,0.00,2024-06-26 00:15:13
110,26,0.00,0.00,2024-06-26 00:15:13
111,27,0.00,0.00,2024-06-26 00:15:13
112,28,0.00,0.00,2024-06-26 00:15:13
113,1,0.00,0.00,2024-06-26 00:20:14
114,2,0.00,0.00,2024-06-26 00:20:14
115,3,0.00,0.25,2024-06-26 00:20:14
116,4,0.00,0.00,2024-06-26 00:20:14
117,5,--:--,--:--,2024-06-26 00:20:14
118,6,0.00,0.00,2024-06-26 00:20:14
119,7,--:--,--:--,2024-06-26 00:20:14
120,8,--:--,--:--,2024-06-26 00:20:14
121,9,0.00,0.00,2024-06-26 00:20:14
122,10,0.00,0.00,2024-06-26 00:20:14
123,11,0.00,0.00,2024-06-26 00:20:14
124,12,0.00,0.00,2024-06-26 00:20:14
125,13,--:--,--:--,2024-06-26 00:20:14
126,14,0.00,0.00,2024-06-26 00:20:14
127,15,0.00,0.00,2024-06-26 00:20:14
128,16,0.00,0.00,2024-06-26 00:20:14
129,17,--:--,--:--,2024-06-26 00:20:14
130,18,0.00,0.00,2024-06-26 00:20:14
131,19,0.00,0.00,2024-06-26 00:20:14
132,20,0.00,0.00,2024-06-26 00:20:14
133,21,--:--,--:--,2024-06-26 00:20:14
134,22,--:--,--:--,2024-06-26 00:20:14
135,23,0.00,0.00,2024-06-26 00:20:14
136,24,--:--,--:--,2024-06-26 00:20:14
137,25,0.00,0.00,2024-06-26 00:20:14
138,26,0.00,0.00,2024-06-26 00:20:14
139,27,0.00,0.00,2024-06-26 00:20:14
140,28,0.00,0.00,2024-06-26 00:20:14
141,1,0.00,0.00,2024-06-26 00:25:11
142,2,0.00,0.00,2024-06-26 00:25:11
143,3,0.00,0.25,2024-06-26 00:25:11
144,4,0.61,0.10,2024-06-26 00:25:11
145,5,--:--,--:--,2024-06-26 00:25:11
146,6,0.00,0.00,2024-06-26 00:25:11
147,7,--:--,--:--,2024-06-26 00:25:11
148,8,--:--,--:--,2024-06-26 00:25:11
149,9,0.00,0.00,2024-06-26 00:25:11
150,10,0.00,0.00,2024-06-26 00:25:11
151,11,0.00,0.00,2024-06-26 00:25:11
152,12,0.00,0.00,2024-06-26 00:25:11
153,13,--:--,--:--,2024-06-26 00:25:11
154,14,0.00,0.00,2024-06-26 00:25:11
155,15,0.00,0.00,2024-06-26 00:25:11
156,16,0.00,0.00,2024-06-26 00:25:11
157,17,--:--,--:--,2024-06-26 00:25:11
158,18,0.00,0.00,2024-06-26 00:25:11
159,19,0.00,0.00,2024-06-26 00:25:11
160,20,0.00,0.00,2024-06-26 00:25:11
161,21,--:--,--:--,2024-06-26 00:25:11
162,22,--:--,--:--,2024-06-26 00:25:11
163,23,0.00,0.00,2024-06-26 00:25:11
164,24,--:--,--:--,2024-06-26 00:25:11
165,25,0.00,0.00,2024-06-26 00:25:11
166,26,0.00,0.00,2024-06-26 00:25:11
167,27,0.00,0.00,2024-06-26 00:25:11
168,28,0.00,0.00,2024-06-26 00:25:11
169,1,0.00,0.00,2024-06-26 00:30:14
170,2,0.00,0.00,2024-06-26 00:30:14
171,3,0.00,0.25,2024-06-26 00:30:14
172,4,0.61,0.10,2024-06-26 00:30:14
173,5,--:--,--:--,2024-06-26 00:30:14
174,6,0.00,0.00,2024-06-26 00:30:14
175,7,--:--,--:--,2024-06-26 00:30:14
176,8,--:--,--:--,2024-06-26 00:30:14
177,9,0.00,0.00,2024-06-26 00:30:14
178,10,0.00,0.00,2024-06-26 00:30:14
179,11,0.00,0.00,2024-06-26 00:30:14
180,12,0.00,0.00,2024-06-26 00:30:14
181,13,--:--,--:--,2024-06-26 00:30:14
182,14,0.00,0.00,2024-06-26 00:30:14
183,15,0.00,0.00,2024-06-26 00:30:14
184,16,0.00,0.00,2024-06-26 00:30:14
185,17,--:--,--:--,2024-06-26 00:30:14
186,18,0.00,0.00,2024-06-26 00:30:14
187,19,0.00,0.00,2024-06-26 00:30:14
188,20,0.00,0.00,2024-06-26 00:30:14
189,21,--:--,--:--,2024-06-26 00:30:14
190,22,--:--,--:--,2024-06-26 00:30:14
191,23,0.00,0.00,2024-06-26 00:30:14
192,24,--:--,--:--,2024-06-26 00:30:14
193,25,0.00,0.00,2024-06-26 00:30:14
194,26,0.00,0.00,2024-06-26 00:30:14
195,27,0.00,0.00,2024-06-26 00:30:14
196,28,0.00,0.00,2024-06-26 00:30:14
197,1,0.00,0.00,2024-06-26 00:35:14
198,2,0.00,0.00,2024-06-26 00:35:14
199,3,0.00,0.25,2024-06-26 00:35:14
200,4,0.00,0.10,2024-06-26 00:35:14
201,5,--:--,--:--,2024-06-26 00:35:14
202,6,0.00,0.00,2024-06-26 00:35:14
203,7,--:--,--:--,2024-06-26 00:35:14
204,8,--:--,--:--,2024-06-26 00:35:14
