id,station_id,precip_rate,precip_accum,precip_time
1519953,1,0,0,2024-12-05 00:00:14
1519954,2,0,0,2024-12-05 00:00:14
1519955,3,0,0,2024-12-05 00:00:14
1519956,4,0,0,2024-12-05 00:00:14
1519957,5,0,0,2024-12-05 00:00:14
1519958,6,--:--,--:--,2024-12-05 00:00:14
1519959,7,0,0,2024-12-05 00:00:14
1519960,8,--:--,--:--,2024-12-05 00:00:14
1519961,9,0,0,2024-12-05 00:00:14
1519962,10,0,0,2024-12-05 00:00:14
1519963,11,0,0,2024-12-05 00:00:14
1519964,12,0,0,2024-12-05 00:00:14
1519965,13,--:--,--:--,2024-12-05 00:00:14
1519966,14,0,0,2024-12-05 00:00:14
1519967,15,--:--,--:--,2024-12-05 00:00:14
1519968,16,0,0,2024-12-05 00:00:14
1519969,17,--:--,--:--,2024-12-05 00:00:14
1519970,18,0,0,2024-12-05 00:00:14
1519971,19,0,0.3,2024-12-05 00:00:14
1519972,20,0,0,2024-12-05 00:00:14
1519973,21,0,0,2024-12-05 00:00:14
1519974,22,--:--,--:--,2024-12-05 00:00:14
1519975,23,0,0.25,2024-12-05 00:00:14
1519976,24,--:--,--:--,2024-12-05 00:00:14
1519977,25,0,0,2024-12-05 00:00:14
1519978,26,0,0,2024-12-05 00:00:14
1519979,27,0,0,2024-12-05 00:00:14
1519980,28,0,0,2024-12-05 00:00:14
1519981,1,0,0,2024-12-05 00:05:12
1519982,2,0,0,2024-12-05 00:05:12
1519983,3,0,0,2024-12-05 00:05:12
1519984,4,0,0,2024-12-05 00:05:12
1519985,5,0,0,2024-12-05 00:05:12
1519986,6,--:--,--:--,2024-12-05 00:05:12
1519987,7,0,0,2024-12-05 00:05:12
1519988,8,--:--,--:--,2024-12-05 00:05:12
1519989,9,0,0,2024-12-05 00:05:12
1519990,10,0,0,2024-12-05 00:05:12
1519991,11,0,0,2024-12-05 00:05:12
1519992,12,0,0,2024-12-05 00:05:12
1519993,13,--:--,--:--,2024-12-05 00:05:12
1519994,14,0,0,2024-12-05 00:05:12
1519995,15,--:--,--:--,2024-12-05 00:05:12
1519996,16,0,0,2024-12-05 00:05:12
1519997,17,--:--,--:--,2024-12-05 00:05:12
1519998,18,0,0,2024-12-05 00:05:12
1519999,19,0,0,2024-12-05 00:05:12
1520000,20,0,0,2024-12-05 00:05:12
1520001,21,0,0,2024-12-05 00:05:12
1520002,22,--:--,--:--,2024-12-05 00:05:12
1520003,23,0,0.25,2024-12-05 00:05:12
1520004,24,--:--,--:--,2024-12-05 00:05:12
1520005,25,0,0,2024-12-05 00:05:12
1520006,26,0,0,2024-12-05 00:05:12
1520007,27,0,0,2024-12-05 00:05:12
1520008,28,0,0,2024-12-05 00:05:12
1520009,1,0,0,2024-12-05 00:10:13
1520010,2,0,0,2024-12-05 00:10:13
1520011,3,0,0,2024-12-05 00:10:13
1520012,4,0,0,2024-12-05 00:10:13
1520013,5,0,0,2024-12-05 00:10:13
1520014,6,--:--,--:--,2024-12-05 00:10:13
1520015,7,0,0,2024-12-05 00:10:13
1520016,8,--:--,--:--,2024-12-05 00:10:13
1520017,9,0,0,2024-12-05 00:10:13
1520018,10,0,0,2024-12-05 00:10:13
1520019,11,0,0,2024-12-05 00:10:13
1520020,12,0,0,2024-12-05 00:10:13
1520021,13,--:--,--:--,2024-12-05 00:10:13
1520022,14,0,0,2024-12-05 00:10:13
